address,zipcode,year_built
512 N HAMILTON ST,48197,1874
513 N ADAMS ST,48197,1890
313 W FOREST AVE,48197,1869
7273 VREELAND RD,48198,1880
404 W MICHIGAN AVE,48197,1850
126 W MICHIGAN AVE,48197,1860
115 W MICHIGAN AVE,48197,1874
9-11 S WASHINGTON ST,48197,1874
211 PERRIN ST,48197,1890
1311 LEFORGE ST,48198,1884
8875 HITCHINGHAM RD,48197,1830
536 MADISON ST,48197,1894
767 HARRIET ST,48197,1884
413 S HURON ST,48197,1868
211 S ADAMS ST,48197,1893
124 S GROVE ST,48198,1885
804 W MICHIGAN AVE,48197,1893
42 S SUMMIT ST,48197,1893
612-614 N CONGRESS ST,48197,1890
21 N NORMAL ST | 801-803 PEARL ST,48197,1884
209 N PARK ST,48198,1894
107 N NORMAL ST,48197,1844
123 N WASHINGTON ST,48197,1850
111 N NORMAL ST,48197,1844
116 N SUMMIT ST,48197,1880
184 N WASHINGTON ST,48197,1850
609 WASHTENAW AVE,48197,1884
224 N GROVE ST,48198,1866
303 N HAMILTON ST,48197,1894
957 W CROSS ST,48197,1899
315 MILES ST,48198,1870
416 FLORENCE ST,48197,1894
404 MAPLE ST,48198,1896
421 N HURON ST,48197,1880
427 BALLARD ST,48197,1894
210 OAK ST,48198,1850
514 N HURON ST,48197,1870
309 OAK ST,48198,1870
701 E FOREST AVE,48198,1870
315 HIGH ST,48198,1865
7485 CHERRY HILL RD,48198,1870
308-312 N RIVER ST,48198,1840
46-50 E CROSS ST,48198,1859
108 W MICHIGAN AVE,48197,1857
401 E CROSS ST,48198,1886
417 OLIVE ST,48197,1890
229-231 N RIVER ST,48198,1864
9500 PITMAN RD,48197,1888
8539 STONEY CREEK RD,48197,1800
201 S PROSPECT ST,48198,1895
215 S WASHINGTON ST,48197,1893
100 E CROSS ST,48198,1870
110 WOODWARD ST,48197,1843
920 N CONGRESS ST,48197,1890
112 S ADAMS ST,48197,1883
112 S WASHINGTON ST,48197,1845
112 S HAMILTON ST,48197,1884
22 S SUMMIT ST,48197,1893
7 S SUMMIT ST,48197,1868
602 N CONGRESS ST,48197,1870
705 PEARL ST,48197,1880
121 N HURON ST,48197,1870
220 N PROSPECT ST,48198,1866
213 N NORMAL ST,48197,1850
219 N SUMMIT ST,48197,1880
220 N HAMILTON ST,48197,1890
306 N RIVER ST,48198,1860
917 W CROSS ST,48197,1870
310 E CROSS ST,48198,1885
610 E CROSS ST,48198,1894
410 FLORENCE ST,48197,1880
422 N HAMILTON ST,48197,1892
414 OAK ST,48198,1860
516 N HAMILTON ST,48197,1894
515 N WASHINGTON ST,48197,1840
206 ARCADE ST,48197,1880
409 OAK ST,48198,1890
34 E FOREST AVE,48198,1870
401 E FOREST AVE,48198,1836
9455 VREELAND RD,48198,1850
10303 CHERRY HILL RD,48198,1870
